S. No.,Power,Scanning speed ,Pulse width,Frequency,Color,R,G,B,L,a,b,Special,,,,,,,,,,,
83,27,489,5,300,Blue Bayoux,85,104,119,43,-3.33,-10.72,blue,,,,,,,,,,,
84,27,633,5,300,Blue Bayoux,86,104,116,42.97,-3.78,-8.95,blue,,,,,,,,,,,
85,27,778,5,300,Shuttle Grey,94,104,116,43.57,-1.01,-8,grey,,,,,,,,,,,
86,27,922,5,300,Dolphin Violet ,107,108,113,45.69,0.67,-2.92,violet,,,,,,,,,,,
87,27,867,5,300,Empress Grey,121,111,110,47.7,3.7,1.95,grey,,,,,,,,,,,
88,27,1011,5,300,Americano Brown,134,117,110,50.59,5.37,6.27,brown,,,,,,,,,,,
89,27,1155,5,300,Squirrel Brown,142,120,107,52.11,6.39,10.3,brown,,,,,,,,,,,
90,27,1300,5,300,Squirrel Brown,146,123,105,53.27,6,13.15,brown,,,,,,,,,,,
91,30,200,5,300,Sirocco Green,111,122,116,50.17,-5.34,1.88,green,,,,,,,,,,,
92,30,344,5,300,Bismark Blue,81,109,121,44.33,-7.04,-9.97,blue,,,,,,,,,,,
93,30,489,5,300,Tax Break Blue,81,104,117,42.66,-5.17,-10.06,blue,,,,,,,,,,,
94,30,633,5,300,Blue Bayoux,86,104,118,43.04,-3.26,-10.06,blue,,,,,,,,,,,
95,30,778,5,300,Blue Bayoux,90,102,118,42.74,-0.71,-10.49,blue,,,,,,,,,,,
96,30,922,5,300,Comet Blue,99,103,114,43.61,0.91,-6.7,blue,,,,,,,,,,,
97,30,867,5,300,Scorpion Grey,110,108,109,45.83,0.98,-0.29,grey,,,,,,,,,,,
98,30,1011,5,300,Sandstone Brown,125,112,106,48.25,3.98,5.17,brown,,,,,,,,,,,
99,30,1155,5,300,Sand Dune Brown,136,116,105,50.39,5.94,8.96,brown,,,,,,,,,,,
100,30,1300,5,300,Squirrel Brown,141,117,105,51.16,7.4,10.11,brown,,,,,,,,,,,
1,9,500,2,300,No color,0,0,0,0,0,0,No Color,,,,,,,,,,,
2,9,611,2,300,No color,0,0,0,0,0,0,No Color,,,,,,,,,,,
3,9,722,2,300,No color,0,0,0,0,0,0,No Color,,,,,,,,,,,
4,9,833,2,300,No color,0,0,0,0,0,0,No Color,,,,,,,,,,,
5,9,944,2,300,No color,0,0,0,0,0,0,No Color,,,,,,,,,,,
6,9,1056,2,300,No color,0,0,0,0,0,0,No Color,,,,,,,,,,,
7,9,1167,2,300,No color,0,0,0,0,0,0,No Color,,,,,,,,,,,
8,9,1278,2,300,No color,0,0,0,0,0,0,No Color,,,,,,,,,,,
9,9,1389,2,300,No color,0,0,0,0,0,0,No Color,,,,,,,,,,,
10,9,1500,2,300,No color,0,0,0,0,0,0,No Color,,,,,,,,,,,
11,9,500,4,300,No color,0,0,0,0,0,0,No Color,,,,,,,,,,,
12,9,611,4,300,No color,0,0,0,0,0,0,No Color,,,,,,,,,,,
13,9,722,4,300,No color,0,0,0,0,0,0,No Color,,,,,,,,,,,
14,9,833,4,300,No color,0,0,0,0,0,0,No Color,,,,,,,,,,,
15,9,944,4,300,No color,0,0,0,0,0,0,No Color,,,,,,,,,,,
16,9,1056,4,300,No color,0,0,0,0,0,0,No Color,,,,,,,,,,,
17,9,1167,4,300,No color,0,0,0,0,0,0,No Color,,,,,,,,,,,
18,9,1278,4,300,No color,0,0,0,0,0,0,No Color,,,,,,,,,,,
19,9,1389,4,300,No color,0,0,0,0,0,0,No Color,,,,,,,,,,,
20,9,1500,4,300,No color,0,0,0,0,0,0,No Color,,,,,,,,,,,
21,9,500,6,300,Waikawa Grey Blue,91,110,134,45.77,-0.97,-15.51,blue,,,,,,,,,,,
22,9,611,6,300,Hoki Blue,96,115,130,47.44,-3.36,-10.56,blue,,,,,,,,,,,
23,9,722,6,300,Blue Bayoux,93,111,125,45.87,-3.27,-9.96,blue,,,,,,,,,,,
24,9,833,6,300,Blue Bayoux,92,110,122,45.4,-3.77,-8.88,blue,,,,,,,,,,,
25,9,944,6,300,Blue Bayoux,96,112,125,46.39,-2.85,-9.17,blue,,,,,,,,,,,
26,9,1056,6,300,Blue Bayoux,99,112,120,46.44,-3.03,-6.08,blue,,,,,,,,,,,
27,9,1167,6,300,Shuttle Grey ,100,107,113,44.82,-1.34,-4.27,grey,,,,,,,,,,,
28,9,1278,6,300,Shuttle Grey ,102,105,110,44.31,-0.078,-3.2,grey,,,,,,,,,,,
29,9,1389,6,300,Ironside Grey,110,110,108,46.377,-0.4,1.107,grey,,,,,,,,,,,
30,9,1500,6,300,Dove Grey ,119,114,111,48.39,1.34,2.34,grey,,,,,,,,,,,
31,9,500,8,300,Hoki Blue,90,112,130,46.14,-3.5,12.56,blue,,,,,,,,,,,
32,9,611,8,300,Blue Bayoux,93,111,123,45.81,-3.78,-8.87,blue,,,,,,,,,,,
33,9,722,8,300,Blue Bayoux,88,108,117,45.46,-5.4,-9.42,blue,,,,,,,,,,,
34,9,833,8,300,Blue Bayoux,91,111,118,45.49,-5.7,-6.35,blue,,,,,,,,,,,
35,9,944,8,300,Tax Break Blue,83,106,114,43.3,-6.48,-7.27,blue,,,,,,,,,,,
36,9,1056,8,300,Smalt Blue,84,105,110,42.93,-6.57,-5.4,blue,,,,,,,,,,,
